product_id,quantity_sold,sales_amount,month
13,14,727.69,January
16,17,508.19,January
1,8,749.85,January
4,10,879.74,January
4,1,977.97,January
8,11,870.22,January
10,19,110.54,January
20,12,423.98,January
19,3,756.99,January
5,3,254.47,January
7,4,568.93,January
13,4,148.9,January
2,19,280.0,January
7,15,116.67,January
8,4,814.33,January
15,18,301.53,January
18,19,410.82,January
6,15,935.27,January
14,10,733.97,January
9,2,128.66,January
10,5,248.22,January
20,11,659.33,January
17,12,619.51,January
20,9,314.1,January
6,12,940.79,January
16,3,652.57,January
16,17,582.07,January
1,1,630.92,January
19,1,757.11,January
4,7,380.75,January
18,15,458.4,January
20,11,288.86,January
20,9,267.57,January
20,14,949.94,January
15,3,765.6,January
8,4,541.41,January
1,3,304.67,January
2,12,328.92,January
10,14,152.23,January
1,17,490.97,January
11,9,380.62,January
4,9,726.71,January
12,9,439.98,January
19,3,261.64,January
3,4,122.21,January
1,13,160.52,January
1,15,711.45,January
5,1,508.33,January
6,5,582.92,January
7,4,907.0,January
9,14,991.31,January
18,12,295.21,January
16,14,696.77,January
5,14,336.99,January
10,12,118.59,January
11,17,782.54,January
2,15,388.02,January
2,17,445.12,January
8,2,629.49,January
10,9,847.94,January
4,1,666.08,January
7,5,885.39,January
12,7,346.19,January
15,14,818.24,January
19,8,267.07,January
1,16,957.51,January
15,10,718.74,January
4,19,293.96,January
13,9,952.63,January
11,16,757.77,January
12,12,328.55,January
5,7,291.98,January
7,16,566.38,January
5,2,123.1,January
16,13,286.72,January
4,4,482.22,January
13,19,436.75,January
5,16,517.22,January
9,4,349.87,January
15,11,628.11,January
16,13,877.47,January
4,7,205.78,January
16,4,565.64,January
14,6,218.86,January
17,12,745.17,January
18,1,456.45,January
6,12,608.88,January
10,9,264.95,January
4,11,230.36,January
1,12,539.25,January
6,6,420.05,January
1,16,946.39,January
18,9,788.79,January
19,3,773.8,January
5,15,913.35,January
3,4,175.08,January
17,4,596.97,January
4,8,626.03,January
3,10,965.74,January
11,10,362.93,January
